freq1Segments,freq2Segments,freq3Segments,freq1to3Segments,dnsSegmentsCount,frequency
3,2,2,7,0,234
2,2,2,6,0,213
2,2,3,7,0,191
2,3,2,7,0,191
3,2,1,6,0,173
3,2,3,8,0,166
3,3,2,8,0,158
3,3,1,7,0,158
3,1,2,6,0,155
2,3,1,6,0,154
2,3,3,8,0,153
1,2,3,6,0,141
1,3,2,6,0,140
3,1,3,7,0,134
4,1,2,7,0,132
1,3,3,7,0,130
4,2,1,7,0,129
2,1,3,6,0,122
4,2,2,8,0,121
2,2,1,5,0,107
2,4,2,8,0,104
2,2,4,8,0,103
1,4,2,7,0,103
2,4,1,7,0,102
4,1,1,6,0,101
2,1,4,7,0,100
4,1,3,8,0,98
1,2,4,7,0,96
2,1,2,5,0,96
3,1,4,8,0,83
4,3,1,8,0,81
1,3,4,8,0,80
3,4,1,8,0,77
2,3,4,9,0,76
3,1,1,5,0,73
3,3,3,9,0,72
3,2,4,9,0,69
4,2,3,9,0,69
1,3,1,5,0,69
1,4,1,6,0,69
5,1,1,7,0,68
3,3,0,6,0,65
1,4,3,8,0,65
1,2,2,5,0,65
4,2,0,6,0,62
3,4,2,9,0,59
5,2,1,8,0,58
2,4,3,9,0,56
3,4,0,7,0,56
4,0,2,6,0,54
1,1,4,6,0,52
4,3,2,9,0,52
2,1,5,8,0,52
3,0,3,6,0,51
4,3,0,7,0,48
1,5,1,7,0,47
3,2,0,5,0,46
1,5,2,8,0,46
1,2,5,8,0,45
1,1,3,5,0,45
5,1,2,8,0,44
2,5,1,8,0,43
3,0,4,7,0,42
3,0,2,5,0,42
1,1,5,7,0,41
2,3,0,5,0,40
5,2,2,9,0,39
0,4,2,6,0,38
2,1,1,4,0,37
5,0,2,7,0,36
2,4,0,6,0,36
4,4,1,9,0,35
0,3,3,6,0,34
0,3,4,7,0,33
4,0,3,7,0,33
5,2,0,7,0,33
0,3,2,5,0,32
4,1,4,9,0,32
2,2,5,9,0,32
2,5,2,9,0,31
1,5,3,9,0,31
2,0,4,6,0,30
2,0,3,5,0,30
0,4,3,7,0,29
4,4,0,8,0,29
2,5,0,7,0,29
5,1,3,9,0,28
4,0,1,5,0,27
1,1,2,4,0,26
5,3,0,8,0,26
2,3,2,7,1,25
3,3,4,10,0,25
0,4,4,8,0,25
1,3,5,9,0,24
0,4,1,5,0,24
2,0,5,7,0,24
5,1,0,6,0,24
3,1,5,9,0,24
4,3,3,10,0,24
5,3,1,9,0,23
3,4,3,10,0,23
0,5,2,7,0,23
0,2,3,5,0,22
2,4,4,10,0,22
1,4,4,9,0,22
3,5,2,10,0,22
0,2,4,6,0,22
1,2,1,4,0,22
3,5,1,9,0,22
4,1,0,5,0,21
5,0,1,6,0,20
5,2,3,10,0,20
6,1,1,8,0,19
0,2,5,7,0,19
5,0,3,8,0,18
4,0,4,8,0,18
3,2,3,8,3,18
2,2,3,7,3,18
2,6,1,9,0,18
3,2,2,7,2,18
6,2,1,9,0,18
1,4,0,5,0,17
2,2,0,4,0,17
2,1,6,9,0,17
3,2,2,7,3,17
4,2,4,10,0,17
4,4,2,10,0,17
0,5,3,8,0,16
5,3,2,10,0,16
2,2,2,6,1,15
2,2,3,7,1,15
1,5,0,6,0,15
3,5,0,8,0,15
2,3,3,8,1,15
2,2,2,6,2,15
4,2,2,8,2,15
2,3,2,7,3,15
2,3,3,8,2,14
3,4,2,9,2,14
3,3,2,8,2,14
2,3,5,10,0,14
2,3,3,8,3,14
1,6,1,8,0,14
3,1,0,4,0,14
1,2,6,9,0,13
0,6,2,8,0,13
1,3,0,4,0,13
1,0,5,6,0,13
2,4,2,8,3,12
0,3,5,8,0,12
3,0,5,8,0,12
2,4,1,7,2,12
2,3,2,7,2,12
4,5,1,10,0,12
2,4,2,8,2,12
2,0,2,4,0,11
3,1,2,6,1,11
3,2,3,8,2,11
0,5,1,6,0,11
4,1,3,8,1,11
1,5,4,10,0,11
2,1,3,6,1,11
0,1,4,5,0,11
3,2,1,6,3,11
3,2,2,7,1,11
3,1,3,7,1,10
2,1,3,6,2,10
2,2,4,8,3,10
2,3,1,6,1,10
2,2,3,7,2,10
3,1,3,7,3,10
4,2,1,7,2,10
3,4,1,8,2,10
1,3,3,7,1,9
3,2,1,6,1,9
1,3,4,8,2,9
6,1,0,7,0,9
1,0,4,5,0,9
2,0,6,8,0,9
4,2,2,8,3,9
3,3,1,7,2,9
5,4,1,10,0,9
3,2,3,8,1,9
2,4,3,9,1,9
6,0,1,7,0,9
