podiumSegments_1to3,freq1stSegments,freq2ndSegments,freq3rdSegments,dnsSegmentsCount,dnsLevelName
7,4,1,2,0,none
6,4,1,1,0,none
7,1,2,4,0,none
7,5,0,2,0,none
6,3,3,0,0,none
9,3,2,4,0,none
7,4,2,1,0,none
8,1,3,4,0,none
6,2,3,1,0,none
9,1,3,5,0,none
6,3,0,3,0,none
8,6,0,2,0,none
6,3,2,1,0,none
7,3,2,2,0,none
7,5,1,1,0,none
7,1,3,3,1,Unterland I
8,2,4,2,3,IBK Ost I
7,1,2,4,0,none
7,3,2,2,0,none
5,4,1,0,0,none
9,4,5,0,3,IBK West I
7,1,3,3,0,none
8,2,4,2,0,none
5,0,4,1,0,none
7,3,1,3,1,Unterland I
7,3,2,2,0,none
7,5,1,1,0,none
10,5,2,3,2,IBK Ost II
7,3,1,3,0,none
9,3,5,1,2,IBK Süd
6,1,3,2,0,none
8,4,3,1,0,none
6,2,2,2,0,none
5,1,4,0,0,none
6,1,1,4,0,none
8,2,3,3,2,IBK Ost II
8,3,3,2,0,none
6,1,2,3,0,none
11,4,3,4,0,none
5,3,2,0,0,none
6,4,1,1,0,none
5,2,2,1,0,none
7,2,4,1,0,none
8,5,1,2,3,IBK West II
7,4,1,2,0,none
7,3,1,3,0,none
9,2,3,4,0,none
7,2,4,1,0,none
8,0,7,1,0,none
8,0,3,5,0,none
7,3,0,4,0,none
9,2,3,4,0,none
4,4,0,0,0,none
7,3,1,3,1,Unterland I
6,3,3,0,2,IBK Süd
8,5,0,3,0,none
8,2,4,2,0,none
4,3,0,1,0,none
6,2,3,1,2,IBK Ost II
8,2,4,2,0,none
8,6,1,1,0,none
5,2,2,1,0,none
7,3,3,1,0,none
4,2,2,0,0,none
7,4,2,1,0,none
7,4,2,1,0,none
9,5,2,2,0,none
9,4,2,3,0,none
8,2,3,3,0,none
7,2,2,3,0,none
9,3,3,3,0,none
5,3,0,2,0,none
9,4,3,2,0,none
10,1,6,3,0,none
9,4,2,3,2,IBK Süd
9,1,6,2,3,Unterland II
8,6,2,0,3,IBK West I
8,3,3,2,0,none
9,2,5,2,1,Unterland I
9,3,5,1,3,IBK Ost I
9,2,3,4,0,none
6,3,2,1,2,IBK Süd
4,0,4,0,0,none
7,5,1,1,0,none
6,3,2,1,1,Unterland I
6,3,2,1,0,none
9,4,3,2,0,none
7,2,0,5,0,none
8,3,2,3,0,none
8,2,2,4,0,none
6,4,1,1,0,none
7,1,5,1,0,none
8,1,3,4,0,none
6,2,1,3,0,none
4,2,0,2,0,none
7,2,2,3,0,none
6,3,1,2,0,none
7,3,2,2,0,none
6,3,1,2,0,none
7,2,3,2,0,none
7,3,3,1,3,Unterland II
8,3,2,3,0,none
8,3,3,2,0,none
6,2,0,4,0,none
7,2,0,5,0,none
4,2,1,1,0,none
8,1,3,4,2,IBK Süd
7,4,1,2,0,none
8,4,2,2,4,Oberland
8,3,2,3,0,none
8,4,1,3,0,none
8,3,4,1,0,none
8,4,0,4,2,IBK Ost II
5,4,1,0,0,none
6,3,1,2,0,none
10,2,7,1,0,none
8,4,0,4,0,none
8,1,3,4,0,none
8,1,3,4,0,none
8,0,5,3,0,none
11,4,5,2,1,Unterland I
8,2,4,2,0,none
7,1,4,2,0,none
7,1,3,3,3,IBK Ost I
7,2,2,3,0,none
7,3,3,1,0,none
6,1,3,2,0,none
5,1,3,1,0,none
8,3,4,1,0,none
9,3,2,4,0,none
6,1,1,4,0,none
5,1,3,1,0,none
6,2,3,1,0,none
6,1,3,2,0,none
6,2,1,3,2,IBK Süd
10,2,2,6,0,none
7,5,1,1,0,none
5,3,0,2,0,none
7,1,2,4,3,IBK West II
6,2,3,1,0,none
10,6,3,1,0,none
8,2,5,1,0,none
7,5,0,2,0,none
8,1,4,3,0,none
8,3,0,5,0,none
9,3,2,4,1,Unterland I
6,0,4,2,0,none
6,1,2,3,3,Unterland II
5,2,1,2,0,none
9,5,2,2,0,none
8,3,2,3,0,none
9,3,2,4,3,Unterland II
